,game_id,data_set,date,away_score,home_score,away_team,home_team,W_or_L,num_block,shots_made,shots_missed,turnover,top_player_score,num_players,num_assist,ft_last2min,ft_total,ft_pct,scorediff,fg_pct
485,21600001,2016-2017 Regular Season,10/25/2016,88,117,NYK,CLE,win,72,45,49,15,29,4,31,2,19,0.736842105,0,0.478723404
903,21600002,2016-2017 Regular Season,10/25/2016,104,113,UTA,POR,win,47,39,36,16,39,4,22,8,22,1,7,0.52
1380,21600003,2016-2017 Regular Season,10/25/2016,129,100,SAS,GSW,lose,49,40,45,17,27,4,24,,18,0.722222222,-5,0.470588235
1860,21600004,2016-2017 Regular Season,10/26/2016,108,96,MIA,ORL,lose,65,34,55,13,20,5,20,2,28,0.785714286,0,0.382022472
2416,21600005,2016-2017 Regular Season,10/26/2016,121,130,DAL,IND,win,69,47,46,16,30,5,30,6,34,0.764705882,9,0.505376344
2904,21600006,2016-2017 Regular Season,10/26/2016,117,122,BKN,BOS,win,58,48,41,19,25,5,36,2,18,0.833333333,-3,0.539325843
3364,21600007,2016-2017 Regular Season,10/26/2016,91,109,DET,TOR,win,64,41,45,13,40,3,17,3,29,0.827586207,-1,0.476744186
3834,21600008,2016-2017 Regular Season,10/26/2016,107,96,CHA,MIL,lose,60,39,53,8,31,4,23,7,20,0.75,1,0.423913043
4314,21600009,2016-2017 Regular Season,10/26/2016,98,102,MIN,MEM,win,66,36,44,14,24,5,19,10,27,0.703703704,6,0.45
4823,21600010,2016-2017 Regular Season,10/26/2016,107,102,DEN,NOP,lose,53,38,54,12,50,3,31,10,26,0.884615385,-3,0.413043478
5320,21600011,2016-2017 Regular Season,10/26/2016,103,97,OKC,PHI,lose,64,36,48,14,20,5,21,6,25,0.72,-7,0.428571429
5794,21600012,2016-2017 Regular Season,10/26/2016,113,94,SAC,PHX,lose,58,36,41,19,18,4,20,3,27,0.666666667,4,0.467532468
6267,21600013,2016-2017 Regular Season,10/26/2016,114,120,HOU,LAL,win,59,45,44,17,25,5,21,,22,0.818181818,2,0.505617978
6752,21600014,2016-2017 Regular Season,10/27/2016,99,114,WAS,ATL,win,67,44,44,21,28,5,28,2,18,0.777777778,1,0.5
7246,21600015,2016-2017 Regular Season,10/27/2016,99,105,BOS,CHI,win,75,36,56,13,24,4,25,8,30,0.733333333,2,0.391304348
7699,21600016,2016-2017 Regular Season,10/27/2016,102,94,SAS,SAC,lose,54,28,42,17,37,3,22,2,38,0.842105263,1,0.4
8242,21600017,2016-2017 Regular Season,10/27/2016,114,106,LAC,POR,lose,74,39,46,15,29,5,18,12,32,0.75,3,0.458823529
8703,21600018,2016-2017 Regular Season,10/28/2016,94,91,CLE,TOR,lose,68,35,55,19,32,3,12,2,18,0.944444444,-3,0.388888889
9202,21600019,2016-2017 Regular Season,10/28/2016,94,103,IND,BKN,win,71,38,49,16,25,4,20,4,20,0.85,-1,0.436781609
9629,21600020,2016-2017 Regular Season,10/28/2016,82,108,ORL,DET,win,70,48,47,12,18,6,27,1,6,0.833333333,-6,0.505263158
10201,21600021,2016-2017 Regular Season,10/28/2016,110,113,PHX,OKC,win,85,40,56,22,51,2,13,3,38,0.736842105,1,0.416666667
10683,21600022,2016-2017 Regular Season,10/28/2016,97,91,CHA,MIA,lose,73,32,54,20,20,5,19,4,20,0.65,1,0.372093023
11123,21600023,2016-2017 Regular Season,10/28/2016,106,98,HOU,DAL,lose,51,35,45,11,31,4,13,5,24,0.833333333,4,0.4375
11614,21600024,2016-2017 Regular Season,10/28/2016,89,96,LAL,UTA,win,70,31,44,17,23,5,14,6,40,0.7,-1,0.413333333
12112,21600025,2016-2017 Regular Season,10/28/2016,122,114,GSW,NOP,lose,62,47,53,15,45,4,29,8,23,0.652173913,3,0.47
12571,21600026,2016-2017 Regular Season,10/29/2016,104,72,ATL,PHI,lose,60,28,52,20,14,3,16,4,15,0.733333333,-4,0.35
13023,21600027,2016-2017 Regular Season,10/29/2016,104,98,BOS,CHA,lose,61,32,47,9,29,3,22,4,33,0.757575758,2,0.405063291
13521,21600028,2016-2017 Regular Season,10/29/2016,104,111,MEM,NYK,win,64,40,36,13,21,5,24,4,39,0.641025641,-1,0.526315789
14028,21600029,2016-2017 Regular Season,10/29/2016,99,105,ORL,CLE,win,67,36,52,10,23,4,17,9,30,0.733333333,-2,0.409090909
14432,21600030,2016-2017 Regular Season,10/29/2016,101,118,IND,CHI,win,56,45,41,12,23,6,34,,21,0.904761905,4,0.523255814
14918,21600031,2016-2017 Regular Season,10/29/2016,108,110,BKN,MIL,win,58,41,47,14,22,5,25,6,24,0.833333333,-5,0.465909091
15355,21600032,2016-2017 Regular Season,10/29/2016,79,98,NOP,SAS,win,66,35,48,11,20,4,21,,23,0.782608696,-2,0.421686747
15927,21600033,2016-2017 Regular Season,10/29/2016,115,113,POR,DEN,lose,84,38,62,18,23,6,19,7,39,0.794871795,-11,0.38
16394,21600034,2016-2017 Regular Season,10/29/2016,103,106,MIN,SAC,win,58,39,46,16,29,4,24,6,25,0.76,1,0.458823529
16831,21600035,2016-2017 Regular Season,10/30/2016,75,88,UTA,LAC,win,59,34,49,13,19,3,17,2,20,0.7,-5,0.409638554
17342,21600036,2016-2017 Regular Season,10/30/2016,106,100,GSW,PHX,lose,70,37,53,13,26,2,19,7,25,0.72,-1,0.411111111
17816,21600037,2016-2017 Regular Season,10/30/2016,106,99,SAS,MIA,lose,56,37,43,12,27,4,19,6,26,0.692307692,-5,0.4625
18256,21600038,2016-2017 Regular Season,10/30/2016,83,98,MIL,DET,win,70,39,49,16,21,5,23,4,20,0.75,1,0.443181818
18756,21600039,2016-2017 Regular Season,10/30/2016,103,112,WAS,MEM,win,67,39,49,14,24,4,24,2,26,0.730769231,12,0.443181818
19246,21600040,2016-2017 Regular Season,10/30/2016,96,113,LAL,OKC,win,69,45,50,21,33,4,29,7,17,0.823529412,0,0.473684211
19713,21600041,2016-2017 Regular Season,10/30/2016,92,93,DAL,HOU,win,68,34,47,21,28,4,16,6,21,0.666666667,-3,0.419753086
20177,21600042,2016-2017 Regular Season,10/31/2016,102,105,DEN,TOR,win,63,41,47,8,33,4,16,2,25,0.76,1,0.465909091
20650,21600043,2016-2017 Regular Season,10/31/2016,118,88,CHI,BKN,lose,54,33,63,16,15,4,14,4,21,0.80952381,2,0.34375
21147,21600044,2016-2017 Regular Season,10/31/2016,95,106,SAC,ATL,win,71,33,46,13,18,6,24,2,47,0.617021277,2,0.417721519
21655,21600045,2016-2017 Regular Season,10/31/2016,98,116,PHX,LAC,win,61,40,40,17,24,5,21,2,38,0.789473684,-1,0.5
22134,21600046,2016-2017 Regular Season,11/1/2016,103,101,ORL,PHI,lose,61,40,41,16,22,5,28,4,16,0.75,-4,0.49382716
22601,21600047,2016-2017 Regular Season,11/1/2016,120,128,HOU,CLE,win,68,43,40,11,32,6,22,9,31,0.838709677,3,0.518072289
23099,21600048,2016-2017 Regular Season,11/1/2016,108,115,LAL,IND,win,60,41,46,18,30,4,19,4,29,0.793103448,8,0.471264368
24047,21600050,2016-2017 Regular Season,11/1/2016,89,102,NYK,DET,win,68,41,48,12,25,4,19,1,21,0.571428571,3,0.460674157
24529,21600051,2016-2017 Regular Season,11/1/2016,117,113,MIL,NOP,lose,55,36,46,14,35,5,23,2,41,0.780487805,0,0.43902439
24979,21600052,2016-2017 Regular Season,11/1/2016,80,116,MEM,MIN,win,63,43,35,22,31,5,29,3,23,0.782608696,0,0.551282051
25393,21600053,2016-2017 Regular Season,11/1/2016,106,91,UTA,SAS,lose,47,33,43,11,30,2,19,2,21,0.904761905,-8,0.434210526
25858,21600054,2016-2017 Regular Season,11/1/2016,127,104,GSW,POR,lose,54,37,49,18,31,4,23,,21,0.761904762,7,0.430232558
26268,21600055,2016-2017 Regular Season,11/2/2016,113,103,TOR,WAS,lose,49,42,30,21,33,4,21,7,24,0.666666667,-6,0.583333333
26725,21600056,2016-2017 Regular Season,11/2/2016,93,109,PHI,CHA,win,65,39,40,17,22,6,25,1,26,0.692307692,0,0.493670886
27174,21600057,2016-2017 Regular Season,11/2/2016,101,109,DET,BKN,win,54,41,35,19,34,5,27,6,17,0.823529412,3,0.539473684
27655,21600058,2016-2017 Regular Season,11/2/2016,118,99,HOU,NYK,lose,57,37,48,17,21,4,18,2,25,0.68,5,0.435294118
28125,21600059,2016-2017 Regular Season,11/2/2016,123,116,LAL,ATL,lose,52,41,44,18,31,6,30,2,29,0.793103448,-3,0.482352941
28633,21600060,2016-2017 Regular Season,11/2/2016,83,89,NOP,MEM,win,78,33,61,21,21,4,20,6,20,0.75,9,0.35106383
29099,21600061,2016-2017 Regular Season,11/2/2016,100,107,CHI,BOS,win,57,41,46,12,23,5,28,8,17,0.647058824,5,0.471264368
29531,21600062,2016-2017 Regular Season,11/2/2016,81,97,DAL,UTA,win,63,35,42,13,25,5,18,2,26,0.576923077,1,0.454545455
30074,21600063,2016-2017 Regular Season,11/2/2016,115,118,POR,PHX,win,72,44,59,13,27,5,15,11,30,0.833333333,7,0.427184466
30578,21600064,2016-2017 Regular Season,11/2/2016,85,83,OKC,LAC,lose,69,34,53,20,15,3,22,4,18,0.444444444,1,0.390804598
31006,21600065,2016-2017 Regular Season,11/3/2016,94,102,SAC,ORL,win,62,38,46,14,29,5,24,4,23,0.695652174,0,0.452380952
31477,21600066,2016-2017 Regular Season,11/3/2016,107,125,IND,MIL,win,57,47,35,21,27,5,32,1,24,0.791666667,4,0.573170732
32432,21600068,2016-2017 Regular Season,11/3/2016,122,128,BOS,CLE,win,62,41,43,8,30,6,24,10,37,0.864864865,-4,0.488095238
32913,21600069,2016-2017 Regular Season,11/3/2016,96,122,OKC,GSW,win,70,46,43,16,39,3,27,,20,0.8,-1,0.516853933
33435,21600070,2016-2017 Regular Season,11/4/2016,92,95,ATL,WAS,win,73,31,49,19,28,4,13,,35,0.8,-5,0.3875
33876,21600071,2016-2017 Regular Season,11/4/2016,87,96,MIA,TOR,win,65,37,47,16,34,3,14,2,18,0.888888889,0,0.44047619
34360,21600072,2016-2017 Regular Season,11/4/2016,99,95,CHA,BKN,lose,65,35,52,16,19,5,20,10,21,0.761904762,-1,0.402298851
34815,21600073,2016-2017 Regular Season,11/4/2016,117,104,NYK,CHI,lose,60,37,47,13,35,3,15,5,27,0.814814815,-5,0.44047619
35325,21600074,2016-2017 Regular Season,11/4/2016,99,88,LAC,MEM,lose,70,31,53,20,30,3,26,10,22,0.772727273,-1,0.369047619
35863,21600075,2016-2017 Regular Season,11/4/2016,112,111,PHX,NOP,lose,62,43,51,10,22,7,28,4,28,0.535714286,-3,0.457446809
36323,21600076,2016-2017 Regular Season,11/4/2016,105,95,POR,DAL,lose,59,34,49,13,23,3,18,7,20,0.85,-2,0.409638554
37257,21600078,2016-2017 Regular Season,11/4/2016,97,117,GSW,LAL,win,65,45,50,16,20,6,26,2,21,0.904761905,0,0.473684211
37729,21600079,2016-2017 Regular Season,11/5/2016,92,112,MIN,OKC,win,67,45,41,12,28,5,24,2,24,0.625,-2,0.523255814
38195,21600080,2016-2017 Regular Season,11/5/2016,102,101,CLE,PHI,lose,61,40,47,17,22,4,21,,12,0.583333333,-3,0.459770115
38660,21600081,2016-2017 Regular Season,11/5/2016,86,88,WAS,ORL,win,65,31,47,10,18,3,21,9,27,0.62962963,-2,0.397435897
39125,21600082,2016-2017 Regular Season,11/5/2016,86,103,DEN,DET,win,68,40,44,14,19,6,22,,22,0.727272727,-2,0.476190476
39556,21600083,2016-2017 Regular Season,11/5/2016,94,111,CHI,IND,win,55,46,40,14,21,6,27,1,12,0.583333333,1,0.534883721
40029,21600084,2016-2017 Regular Season,11/5/2016,97,112,HOU,ATL,win,57,45,40,20,23,5,29,,24,0.583333333,-2,0.529411765
40475,21600085,2016-2017 Regular Season,11/5/2016,91,117,SAC,MIL,win,64,41,41,18,22,6,28,2,25,0.84,-3,0.5
40900,21600086,2016-2017 Regular Season,11/5/2016,116,92,LAC,SAS,lose,51,30,44,16,19,4,19,1,25,0.88,3,0.405405405
41340,21600087,2016-2017 Regular Season,11/6/2016,114,109,UTA,NYK,lose,51,42,41,14,28,4,18,12,19,0.894736842,4,0.506024096
41804,21600088,2016-2017 Regular Season,11/6/2016,100,94,POR,MEM,lose,63,31,50,13,21,5,15,4,32,0.8125,-2,0.382716049
42273,21600089,2016-2017 Regular Season,11/6/2016,96,91,SAC,TOR,lose,66,30,54,8,23,3,22,8,31,0.774193548,-3,0.357142857
42742,21600090,2016-2017 Regular Season,11/6/2016,75,86,MIL,DAL,win,60,33,55,16,34,2,14,3,12,0.916666667,12,0.375
43218,21600091,2016-2017 Regular Season,11/6/2016,123,107,DEN,BOS,lose,53,41,49,13,30,3,31,4,21,0.80952381,8,0.455555556
43743,21600092,2016-2017 Regular Season,11/6/2016,108,119,PHX,LAL,win,74,41,49,20,22,6,22,17,35,0.771428571,4,0.455555556
44205,21600093,2016-2017 Regular Season,11/7/2016,109,84,UTA,PHI,lose,58,31,46,18,15,4,16,,22,0.681818182,0,0.402597403
44640,21600094,2016-2017 Regular Season,11/7/2016,114,106,HOU,WAS,lose,61,39,55,16,21,5,20,7,20,0.9,-2,0.414893617
45103,21600095,2016-2017 Regular Season,11/7/2016,100,122,IND,CHA,win,53,41,43,12,24,8,30,2,32,0.875,-1,0.488095238
45543,21600096,2016-2017 Regular Season,11/7/2016,80,112,ORL,CHI,win,67,42,47,10,20,5,26,2,31,0.806451613,-6,0.471910112
45994,21600097,2016-2017 Regular Season,11/7/2016,85,97,MIA,OKC,win,66,37,48,18,24,4,24,4,17,0.823529412,-1,0.435294118
46422,21600098,2016-2017 Regular Season,11/7/2016,82,114,DET,LAC,win,59,41,35,12,24,5,28,2,22,0.863636364,-5,0.539473684
46859,21600099,2016-2017 Regular Season,11/7/2016,106,116,NOP,GSW,win,51,45,45,16,46,3,35,4,12,0.833333333,-2,0.5
47340,21600100,2016-2017 Regular Season,11/8/2016,110,106,ATL,CLE,lose,63,37,62,6,29,4,21,1,25,0.84,5,0.373737374
47809,21600101,2016-2017 Regular Season,11/8/2016,110,119,MIN,BKN,win,57,42,34,22,26,6,20,6,26,0.884615385,7,0.552631579
48287,21600102,2016-2017 Regular Season,11/8/2016,107,108,DEN,MEM,win,51,44,42,14,20,5,29,,19,0.684210526,0,0.511627907
48773,21600103,2016-2017 Regular Season,11/8/2016,121,124,PHX,POR,win,51,45,36,20,38,4,22,15,28,0.714285714,-1,0.555555556
49178,21600104,2016-2017 Regular Season,11/8/2016,109,97,DAL,LAL,lose,47,38,40,17,22,5,20,4,14,0.785714286,-1,0.487179487
49610,21600105,2016-2017 Regular Season,11/8/2016,94,102,NOP,SAC,win,57,39,42,11,28,3,24,7,20,0.8,-2,0.481481481
50078,21600106,2016-2017 Regular Season,11/9/2016,96,110,BKN,NYK,win,67,44,48,14,22,5,25,2,17,0.705882353,-2,0.47826087
50542,21600107,2016-2017 Regular Season,11/9/2016,93,118,BOS,WAS,win,74,46,46,12,34,5,29,2,20,0.8,0,0.5
50986,21600108,2016-2017 Regular Season,11/9/2016,98,104,UTA,CHA,win,55,38,44,11,21,6,24,4,29,0.689655172,-3,0.463414634
51450,21600109,2016-2017 Regular Season,11/9/2016,123,107,MIN,ORL,lose,57,38,47,10,24,6,20,5,30,0.766666667,2,0.447058824
51955,21600110,2016-2017 Regular Season,11/9/2016,115,122,PHI,IND,win,62,49,41,16,30,5,25,10,20,0.75,11,0.544444444
52450,21600111,2016-2017 Regular Season,11/9/2016,107,115,CHI,ATL,win,70,42,41,24,20,8,24,4,27,0.814814815,-2,0.506024096
52906,21600112,2016-2017 Regular Season,11/9/2016,112,102,TOR,OKC,lose,58,31,43,23,36,3,18,4,31,0.903225806,4,0.418918919
53399,21600113,2016-2017 Regular Season,11/9/2016,100,107,DET,PHX,win,74,38,46,19,21,6,20,8,30,0.766666667,4,0.452380952
53854,21600114,2016-2017 Regular Season,11/9/2016,101,99,HOU,SAS,lose,56,33,51,11,34,3,22,2,30,0.866666667,2,0.392857143
54320,21600115,2016-2017 Regular Season,11/9/2016,80,111,POR,LAC,win,70,38,49,7,22,5,24,,33,0.727272727,-4,0.436781609
54762,21600116,2016-2017 Regular Season,11/9/2016,95,116,DAL,GSW,win,57,43,31,15,28,4,33,3,22,0.590909091,-5,0.581081081
55243,21600117,2016-2017 Regular Season,11/10/2016,112,106,NOP,MIL,lose,61,40,51,11,33,3,23,7,25,0.8,0,0.43956044
55698,21600118,2016-2017 Regular Season,11/10/2016,98,95,CHI,MIA,lose,63,36,52,15,20,5,22,6,15,0.666666667,1,0.409090909
56153,21600119,2016-2017 Regular Season,11/10/2016,125,101,GSW,DEN,lose,57,38,56,19,14,6,26,2,17,0.705882353,3,0.404255319
56599,21600120,2016-2017 Regular Season,11/10/2016,101,91,LAL,SAC,lose,56,34,51,15,28,3,18,7,20,0.75,-3,0.4
57117,21600121,2016-2017 Regular Season,11/11/2016,105,109,IND,PHI,win,65,36,50,20,25,5,24,9,31,0.838709677,1,0.418604651
57585,21600122,2016-2017 Regular Season,11/11/2016,105,94,CLE,WAS,lose,63,38,49,15,28,4,16,,19,0.789473684,0,0.436781609
58042,21600123,2016-2017 Regular Season,11/11/2016,113,111,TOR,CHA,lose,64,38,55,12,40,5,22,5,24,0.75,1,0.408602151
58486,21600124,2016-2017 Regular Season,11/11/2016,87,74,UTA,ORL,lose,55,26,52,12,21,2,13,2,19,0.736842105,-3,0.333333333
59023,21600125,2016-2017 Regular Season,11/11/2016,87,115,NYK,BOS,win,70,35,55,16,29,7,23,2,43,0.790697674,-1,0.388888889
59538,21600126,2016-2017 Regular Season,11/11/2016,110,108,LAC,OKC,lose,69,38,50,17,29,5,21,8,19,0.842105263,0,0.431818182
59949,21600127,2016-2017 Regular Season,11/11/2016,86,96,DET,SAS,win,55,36,45,10,21,5,24,7,19,0.789473684,2,0.444444444
60431,21600128,2016-2017 Regular Season,11/11/2016,120,122,SAC,POR,win,53,45,41,13,36,4,29,9,27,0.703703704,-3,0.523255814
60863,21600129,2016-2017 Regular Season,11/12/2016,126,99,LAL,NOP,lose,51,39,51,10,34,3,20,2,19,0.789473684,-5,0.433333333
61344,21600130,2016-2017 Regular Season,11/12/2016,105,99,BOS,IND,lose,61,36,50,15,20,5,17,12,28,0.75,0,0.418604651
61821,21600131,2016-2017 Regular Season,11/12/2016,107,118,NYK,TOR,win,57,39,44,11,33,6,18,10,38,0.868421053,9,0.469879518
62298,21600132,2016-2017 Regular Season,11/12/2016,96,117,PHI,ATL,win,68,48,47,16,20,6,31,2,14,0.571428571,2,0.505263158
62772,21600133,2016-2017 Regular Season,11/12/2016,95,106,WAS,CHI,win,67,39,58,10,37,5,21,7,25,0.92,1,0.402061856
63224,21600134,2016-2017 Regular Season,11/12/2016,106,100,SAS,HOU,lose,64,34,55,16,27,4,22,4,21,0.80952381,-2,0.382022472
63687,21600135,2016-2017 Regular Season,11/12/2016,119,105,LAC,MIN,lose,56,40,49,13,24,3,26,6,21,0.80952381,0,0.449438202
64105,21600136,2016-2017 Regular Season,11/12/2016,102,91,UTA,MIA,lose,51,38,43,9,15,6,21,2,19,0.526315789,7,0.469135802
64540,21600137,2016-2017 Regular Season,11/12/2016,96,106,MEM,MIL,win,53,36,32,14,27,4,20,4,36,0.75,4,0.529411765
64972,21600138,2016-2017 Regular Season,11/12/2016,106,95,DET,DEN,lose,64,36,48,16,19,4,15,6,19,0.736842105,-4,0.428571429
65480,21600139,2016-2017 Regular Season,11/12/2016,122,104,BKN,PHX,lose,65,40,67,12,18,5,23,3,21,0.761904762,-5,0.373831776
65924,21600140,2016-2017 Regular Season,11/13/2016,93,100,CHA,CLE,win,76,39,53,9,20,5,25,3,15,0.533333333,0,0.423913043
66388,21600141,2016-2017 Regular Season,11/13/2016,119,117,ORL,OKC,lose,61,47,45,12,41,5,22,5,26,0.615384615,-4,0.510869565
66861,21600142,2016-2017 Regular Season,11/13/2016,99,125,LAL,MIN,win,56,42,38,10,47,5,28,4,42,0.666666667,6,0.525
67345,21600143,2016-2017 Regular Season,11/13/2016,120,133,PHX,GSW,win,58,45,42,16,30,4,32,7,31,0.870967742,6,0.517241379
67876,21600144,2016-2017 Regular Season,11/13/2016,105,112,DEN,POR,win,69,39,60,8,32,6,21,13,32,0.8125,-2,0.393939394
68315,21600145,2016-2017 Regular Season,11/14/2016,69,88,ORL,IND,win,63,35,55,11,16,5,22,,10,1,3,0.388888889
69210,21600147,2016-2017 Regular Season,11/14/2016,88,104,OKC,DET,win,61,43,49,10,22,5,25,4,16,0.8125,1,0.467391304
69712,21600148,2016-2017 Regular Season,11/14/2016,105,106,BOS,NOP,win,66,35,44,19,25,4,16,10,36,0.833333333,3,0.443037975
70182,21600149,2016-2017 Regular Season,11/14/2016,88,115,PHI,HOU,win,73,44,47,19,33,4,20,,17,0.588235294,3,0.483516484
70649,21600150,2016-2017 Regular Season,11/14/2016,90,94,MIA,SAS,win,71,33,49,17,24,5,24,8,27,0.740740741,0,0.402439024
71089,21600151,2016-2017 Regular Season,11/14/2016,102,96,MEM,UTA,lose,42,35,38,9,20,4,17,11,22,0.818181818,-2,0.479452055
71532,21600152,2016-2017 Regular Season,11/14/2016,95,127,BKN,LAC,win,57,48,42,13,21,6,32,5,21,0.80952381,4,0.533333333
72004,21600153,2016-2017 Regular Season,11/15/2016,117,121,TOR,CLE,win,63,44,39,17,28,5,26,9,28,0.714285714,3,0.530120482
72473,21600154,2016-2017 Regular Season,11/15/2016,93,90,ATL,MIA,lose,70,36,53,25,19,5,13,4,14,0.785714286,0,0.404494382
72910,21600155,2016-2017 Regular Season,11/15/2016,115,108,CHA,MIN,lose,59,38,51,18,29,4,25,6,21,0.80952381,-1,0.426966292
73403,21600156,2016-2017 Regular Season,11/15/2016,113,88,CHI,POR,lose,62,34,61,11,19,3,17,2,18,0.611111111,-2,0.357894737
73924,21600157,2016-2017 Regular Season,11/15/2016,118,125,BKN,LAL,win,71,41,51,12,32,5,24,14,43,0.790697674,3,0.445652174
74408,21600158,2016-2017 Regular Season,11/16/2016,102,109,WAS,PHI,win,62,42,35,17,19,6,30,6,22,0.681818182,2,0.545454545
74882,21600159,2016-2017 Regular Season,11/16/2016,82,89,NOP,ORL,win,70,34,54,13,16,6,17,4,19,0.578947368,4,0.386363636
75323,21600160,2016-2017 Regular Season,11/16/2016,93,103,CLE,IND,win,55,43,43,10,21,5,22,2,11,0.636363636,-2,0.5
75746,21600161,2016-2017 Regular Season,11/16/2016,83,90,DAL,BOS,win,69,33,43,19,30,3,18,4,23,0.739130435,5,0.434210526
76163,21600162,2016-2017 Regular Season,11/16/2016,102,105,DET,NYK,win,63,42,51,10,35,3,24,2,19,0.631578947,-5,0.451612903
77068,21600164,2016-2017 Regular Season,11/16/2016,103,105,HOU,OKC,win,55,40,44,16,30,2,25,2,14,0.928571429,2,0.476190476
77556,21600165,2016-2017 Regular Season,11/16/2016,127,121,GSW,TOR,lose,59,37,45,15,34,6,16,15,41,0.902439024,5,0.451219512
78039,21600166,2016-2017 Regular Season,11/16/2016,104,120,PHX,DEN,win,66,45,48,14,28,6,23,4,24,0.916666667,1,0.483870968
78508,21600167,2016-2017 Regular Season,11/16/2016,111,107,MEM,LAC,lose,56,37,44,10,29,3,15,4,34,0.705882353,-2,0.456790123
78961,21600168,2016-2017 Regular Season,11/16/2016,110,105,SAS,SAC,lose,59,36,40,17,26,6,21,11,31,0.774193548,11,0.473684211
79388,21600169,2016-2017 Regular Season,11/17/2016,112,119,NYK,WAS,win,50,44,37,19,23,5,26,12,18,0.888888889,-2,0.543209877
79869,21600170,2016-2017 Regular Season,11/17/2016,73,96,MIL,MIA,win,80,39,58,10,23,4,19,2,21,0.523809524,4,0.402061856
80789,21600172,2016-2017 Regular Season,11/17/2016,86,110,PHI,MIN,win,59,43,41,15,35,4,18,4,20,0.9,1,0.511904762
81210,21600173,2016-2017 Regular Season,11/17/2016,85,77,CHI,UTA,lose,63,30,48,13,16,4,11,2,14,0.857142857,-1,0.384615385
81673,21600174,2016-2017 Regular Season,11/18/2016,96,100,ATL,CHA,win,63,37,53,12,24,3,25,4,24,0.666666667,0,0.411111111
82105,21600175,2016-2017 Regular Season,11/18/2016,81,104,DET,CLE,win,67,40,43,13,25,3,26,2,14,0.928571429,0,0.481927711
82568,21600176,2016-2017 Regular Season,11/18/2016,116,96,PHX,IND,lose,54,36,40,19,22,2,18,,29,0.793103448,2,0.473684211
83027,21600177,2016-2017 Regular Season,11/18/2016,101,113,POR,NOP,win,53,45,37,9,38,5,31,2,20,0.7,-6,0.548780488
83512,21600178,2016-2017 Regular Season,11/18/2016,105,124,BKN,OKC,win,69,49,40,16,30,6,23,2,24,0.791666667,3,0.550561798
83946,21600179,2016-2017 Regular Season,11/18/2016,104,88,GSW,BOS,lose,57,31,52,13,18,5,19,2,19,0.789473684,-4,0.373493976
84388,21600180,2016-2017 Regular Season,11/18/2016,80,64,MEM,DAL,lose,58,21,52,18,15,3,9,4,22,0.772727273,5,0.287671233
84921,21600181,2016-2017 Regular Season,11/18/2016,113,111,TOR,DEN,lose,73,39,44,19,25,4,29,11,39,0.743589744,-1,0.469879518
85361,21600182,2016-2017 Regular Season,11/18/2016,116,107,SAS,LAL,lose,53,39,48,14,24,5,24,8,21,0.80952381,-1,0.448275862
85834,21600183,2016-2017 Regular Season,11/18/2016,121,115,LAC,SAC,lose,59,38,48,15,38,4,21,4,35,0.828571429,-2,0.441860465
86258,21600184,2016-2017 Regular Season,11/19/2016,102,111,UTA,HOU,win,56,42,52,7,31,4,28,2,20,0.75,1,0.446808511
86805,21600185,2016-2017 Regular Season,11/19/2016,116,121,CHA,NOP,win,71,43,55,13,38,4,27,13,25,0.84,4,0.43877551
87277,21600186,2016-2017 Regular Season,11/19/2016,114,111,MIA,WAS,lose,59,42,47,13,34,3,22,8,22,0.727272727,9,0.471910112
87742,21600187,2016-2017 Regular Season,11/19/2016,87,95,DAL,ORL,win,69,34,44,21,18,5,17,4,22,0.863636364,1,0.435897436
88157,21600188,2016-2017 Regular Season,11/19/2016,94,92,BOS,DET,lose,58,37,49,7,24,4,22,2,16,0.6875,-3,0.430232558
88654,21600189,2016-2017 Regular Season,11/19/2016,105,120,PHX,PHI,win,70,45,41,19,26,6,33,3,20,0.65,-4,0.523255814
89102,21600190,2016-2017 Regular Season,11/19/2016,71,93,MIN,MEM,win,65,29,47,13,19,5,15,6,38,0.868421053,1,0.381578947
89610,21600191,2016-2017 Regular Season,11/19/2016,124,121,GSW,MIL,lose,63,46,43,13,30,3,27,4,25,0.76,-1,0.516853933
90065,21600192,2016-2017 Regular Season,11/19/2016,95,102,CHI,LAC,win,52,36,41,15,26,4,20,8,23,0.826086957,2,0.467532468
90524,21600193,2016-2017 Regular Season,11/20/2016,94,104,ATL,NYK,win,62,42,46,15,31,4,21,7,14,0.714285714,-3,0.477272727
90998,21600194,2016-2017 Regular Season,11/20/2016,129,109,POR,BKN,lose,53,37,56,10,21,5,22,9,31,0.806451613,0,0.397849462
91541,21600195,2016-2017 Regular Season,11/20/2016,115,111,IND,OKC,lose,67,44,57,20,31,3,28,11,18,0.722222222,-2,0.435643564
92000,21600196,2016-2017 Regular Season,11/20/2016,99,102,TOR,SAC,win,56,36,45,14,23,4,26,3,25,0.76,0,0.444444444
92483,21600197,2016-2017 Regular Season,11/20/2016,91,105,UTA,DEN,win,69,42,44,9,18,6,31,8,30,0.433333333,-4,0.488372093
92949,21600198,2016-2017 Regular Season,11/20/2016,118,110,CHI,LAL,lose,52,41,52,12,25,4,26,2,21,0.714285714,3,0.440860215
93427,21600199,2016-2017 Regular Season,11/21/2016,94,101,MIA,PHI,win,58,37,41,17,22,4,21,4,20,0.8,0,0.474358974
